r_var_name,asset.grouping,inflate,wealth.type,1986,1990,1994,1995,1996,1997,1999,2000,2002,2003,2005,2007,2009,2011,2013,2015,2017
asset_business_unincorp,other.financial.assets.grouped.value,Yes,asset,,,,,,,,,VUBUSCH,VUBUSCH,VUBUSCH,,VUBUSCH,VUBUSCH,VUBUSCH,VUBUSCH,VUBUSCH
asset_car,all.other.wealth.grouped.value,Yes,asset,,,,,,,,,VVEHICH,VVEHICH,VVEHICH,,VVEHICH,VVEHICH,VVEHICH,VVEHICH,VVEHICH
asset_kids,other.financial.assets.grouped.value,Yes,asset,,,,,,,,,VCHASSCH,VCHASSCH,VCHASSCH,,VCHASSCH,,,,
rent_imputed,,Yes,,,,,,,,,,,,,,,GROSSIR,GROSSIR,GROSSIR,GROSSIR
rent_imputed_net,,Yes,,,,,,,,,,,,,,,NETIR,NETIR,NETIR,NETIR
income_employee_0304,,Yes,,,,,,,,,,IWSUCH,IWSUCH,IWSUCH,IWSUCH,,,,,
income_employee_0506,,Yes,,,,,,,,,,,,IWSSUCH,IWSSUCH,IWSSUCH,,,,
income_employee_0708,,Yes,,,,,,,,,,,,,IWSUCH8,IWSUCH8,IWSUCH8,IWSUCH8,IWSUCH8,IWSUCH8
income_uninc_business,,Yes,,,,,,,,,,IOBTCH,IOBTCH,IOBTCH,IOBTCH,IOBTCH,IOBTCH,IOBTCH,IOBTCH,IOBTCH
income_investments_0506,,Yes,,,,,,,,,,INVESTCH,INVESTCH,INVESTCH,INVESTCH,,,,,
income_investments_0708,,Yes,,,,,,,,,,,,,INVESCH8,INVESCH8,INVESCH8,INVESCH8,INVESCH8,INVESCH8
income_pensions_allowances_0506,,Yes,,,,,,,,,,ITGCBCH,ITGCBCH,ITGCBCH,ITGCBCH6,ITGCBCH6,,,,
income_pensions_allowances_0708,,Yes,,,,,,,,,,,,,ITGCBCH8,ITGCBCH8,ITGCBCH8,ITGCBCH8,ITGCBCH8,ITGCBCH8
income_super,,Yes,,,,,,,,,,ISUPERCH,ISUPERCH,ISUPERCH,ISUPERCH,ISUPERCH,ISUPERCH,ISUPERCH,ISUPERCH,ISUPERCH
income_other_sources,,Yes,,,,,,,,,,OTHSRCH,OTHSRCH,OTHSRCH,OTHSRCH,OTHSRCH,OTHSRCH,OTHSRCH,OTHSRCH,OTHSRCH
income_other_sources_incl_WC,,Yes,,,,,,,,,,,,,OTHSRCH8,OTHSRCH8,OTHSRCH8,OTHSRCH8,OTHSRCH8,OTHSRCH8
tenure,,,,,,NATOCCH,NATOCCH,TENUREH,TENUREH,TENUREH,TENUREH,TENURECF,TENURECF,TENURECF,TENURECF,TENURECF,TENURECF,TENURECF,TENURECF,TENURECF
rent,,,,,,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH,WKRENTCH
housing_costs,,,,,,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH,HCOSTSH
housing_landlord_type,,,,,,LNDLDH,LNDLDH,LNDLDH,LNDLDH,LNDLDH,LNDLDH,LDLRDHCF,LDLRDHCF,LDLRDHCF,LDLRDHCF,LDLRDHCF,LDLRDHCF,LDLRDHCF,LDLRDHCF,LDLRDHCF
state,,,,,,STATEH,STATEH,STATEH,STATEH,STATEH,STATEH,STATEHBC,STATEHBC,STATEHBC,STATEHBC,STATEHBC,STATEHBC,STATEHBC,STATEHEC,STATEHEC
housing_bedrooms_spare,,,,,,,,,,,,,,,,,,,HUTILCHC,HUTILCHC
