"","x"
"371","repwth21_2000"
"372","repwth22_2000"
"373","repwth23_2000"
"374","repwth24_2000"
"375","repwth25_2000"
"376","repwth26_2000"
"377","repwth27_2000"
"378","repwth28_2000"
"379","repwth29_2000"
"380","repwth30_2000"
"381","absiid_2002"
"382","abspid_2002"
"383","absfid_2002"
"384","trpay1ch_2002"
"385","trpay2ch_2002"
"386","trpay3ch_2002"
"387","trpay4ch_2002"
"388","ratesch_2002"
"389","towe1ch_2002"
"390","towe2ch_2002"
"391","towe3ch_2002"
"392","towe4ch_2002"
"393","iwsuph_2002"
"394","iobtph_2002"
"395","isuperph_2002"
"396","investph_2002"
"397","othsrph_2002"
"398","itgcbph_2002"
"399","inctotph_2002"
"400","dispph_2002"
"401","wthh_2002"
"402","repwth01_2002"
"403","repwth02_2002"
"404","repwth03_2002"
"405","repwth04_2002"
"406","repwth05_2002"
"407","repwth06_2002"
"408","repwth07_2002"
"409","repwth08_2002"
"410","repwth09_2002"
"411","repwth10_2002"
"412","repwth11_2002"
"413","repwth12_2002"
"414","repwth13_2002"
"415","repwth14_2002"
"416","repwth15_2002"
"417","repwth16_2002"
"418","repwth17_2002"
"419","repwth18_2002"
"420","repwth19_2002"
"421","repwth20_2002"
"422","repwth21_2002"
"423","repwth22_2002"
"424","repwth23_2002"
"425","repwth24_2002"
"426","repwth25_2002"
"427","repwth26_2002"
"428","repwth27_2002"
"429","repwth28_2002"
"430","repwth29_2002"
"431","repwth30_2002"
"432","hcostsh2_2003"
"433","wkrentrf_2003"
"434","ratesch_2003"
"435","ratescch_2003"
"436","ratesgch_2003"
"437","rateswch_2003"
"438","ratergch_2003"
"439","ratercch_2003"
"440","raterwch_2003"
"441","bcorpch_2003"
"442","ratesrch_2003"
"443","iobt1ch_2003"
"444","iobtph_2003"
"445","dispph_2003"
"446","inctotph_2003"
"447","iwsuph_2003"
"448","itgcbph_2003"
"449","investph_2003"
"450","othsrph_2003"
"451","isuperph_2003"
"452","incto1ch_2003"
"453","inves1ch_2003"
"454","towe2ch_2003"
"455","towe2c2_2003"
"456","towe1ch_2003"
"457","towe1c2_2003"
"458","towe4ch_2003"
"459","towe4c2_2003"
"460","towe3ach_2003"
"461","towe3ac2_2003"
"462","trpay2ch_2003"
"463","trpay2rf_2003"
"464","trpay1ch_2003"
"465","trpay1rf_2003"
"466","trpa3ach_2003"
"467","trpa3arf_2003"
"468","trpay4ch_2003"
"469","trpay4rf_2003"
"470","tint2ch_2003"
"471","tint1ch_2003"
"472","tint3ach_2003"
"473","tint4ch_2003"
"474","whs0101_2003"
"475","whs0102_2003"
"476","whs0103_2003"
"477","whs0104_2003"
"478","whs0105_2003"
"479","whs0106_2003"
"480","whs0107_2003"
"481","whs0108_2003"
"482","whs0109_2003"
"483","whs0110_2003"
"484","whs0111_2003"
"485","whs0112_2003"
"486","whs0113_2003"
"487","whs0114_2003"
"488","whs0115_2003"
"489","whs0116_2003"
"490","whs0117_2003"
"491","whs0118_2003"
"492","whs0119_2003"
"493","whs0120_2003"
"494","whs0121_2003"
"495","whs0122_2003"
"496","whs0123_2003"
"497","whs0124_2003"
"498","whs0125_2003"
"499","whs0126_2003"
"500","whs0127_2003"
"501","whs0128_2003"
"502","whs0129_2003"
"503","whs0130_2003"
"504","whs0131_2003"
"505","whs0132_2003"
"506","whs0133_2003"
"507","whs0134_2003"
"508","whs0135_2003"
"509","whs0136_2003"
"510","whs0137_2003"
"511","whs0138_2003"
"512","whs0139_2003"
"513","whs0140_2003"
"514","whs0141_2003"
"515","whs0142_2003"
"516","whs0143_2003"
"517","whs0144_2003"
"518","whs0145_2003"
"519","whs0146_2003"
"520","whs0147_2003"
"521","whs0148_2003"
"522","whs0149_2003"
"523","whs0150_2003"
"524","whs0151_2003"
"525","whs0152_2003"
"526","whs0153_2003"
"527","whs0154_2003"
"528","whs0155_2003"
"529","whs0156_2003"
"530","whs0157_2003"
"531","whs0158_2003"
"532","whs0159_2003"
"533","whs0160_2003"
"534","grossir_2003"
"535","netir_2003"
"536","hcostsh2_2005"
"537","rateswch_2005"
"538","ratesgch_2005"
"539","ratescch_2005"
"540","wkrentrf_2005"
"541","bcorprch_2005"
"542","raterwch_2005"
"543","ratergch_2005"
"544","ratercch_2005"
"545","ratesrch_2005"
"546","ratesch_2005"
"547","iobt1ch_2005"
"548","iobtph_2005"
"549","dispph_2005"
"550","inctotph_2005"
"551","iwsuph_2005"
"552","itgcbph_2005"
"553","investph_2005"
"554","othsrph_2005"
